연도,분기,상권_코드,점포수,시간대_00~06_매출_금액_평균,시간대_06~11_매출_금액_평균,시간대_11~14_매출_금액_평균,시간대_14~17_매출_금액_평균,시간대_17~21_매출_금액_평균,시간대_21~24_매출_금액_평균,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,상권_중앙위경도_값,00~06시_버스,06~11시_버스,11~14시_버스,14~17시_버스,17~21시_버스,21~24시_버스,00~06시_지하철,06~11시_지하철,11~14시_지하철,14~17시_지하철,17~21시_지하철,21~24시_지하철,포함된_버정_수,포함된_역_수
2021,1,2110949,6,135148.78703703705,225212.99444444448,222799.3981481481,222372.48703703703,348991.7907407408,306535.9944444444,564.0,281.0,0.0,281.0,1683.0,5.0,0.0,5.0,10.0,15.0,6.0,4.0,72.0,310703,61144,59744,48074,51297,59464,30980,45533,47362,47548,46567,45795,40746,37153,201717,446819,11680,"37.520855545263544, 127.01942289119167",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,1,2110951,3,77475.28888888888,56735.34814814814,82804.30740740741,83160.41851851852,197820.9740740741,184284.2185185185,979.0,574.0,0.0,574.0,273.0,16.0,3.0,77.0,37.0,7.0,11.0,3.0,23.0,589079,133230,115301,83681,87531,104371,64967,87680,90947,90806,88287,85870,75959,69529,202246,446821,11680,"37.52087242965624, 127.02540700249948",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,1,2110952,3,146944.14814814815,81963.86296296297,96850.89629629628,94594.13703703704,209946.337037037,183259.95185185183,868.0,571.0,0.0,571.0,117.0,27.0,0.0,120.0,93.0,26.0,13.0,2.0,3.0,182662,53238,39520,20802,20198,26072,22830,26422,26507,26263,26046,25397,25644,26386,202328,445762,11680,"37.5113305986889, 127.02633124285852",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,1,2110954,3,22237.87037037037,68712.98148148147,64905.77777777778,83802.10740740741,133324.45185185183,78298.55185185185,448.0,303.0,0.0,303.0,636.0,3.0,0.0,28.0,2.0,3.0,0.0,0.0,1.0,390541,39166,57710,68491,82917,111894,30362,55224,57150,58328,55861,57975,59554,46449,202535,444783,11680,"37.50250921505765, 127.02866917807879",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,1,2110955,29,242125.81340996167,139394.76743295018,125163.89425287356,158659.5559386973,374251.31647509575,371039.8275862069,7089.0,4515.0,0.0,4515.0,3430.0,182.0,20.0,938.0,611.0,151.0,104.0,91.0,141.0,2872248,742230,630153,360043,350780,441091,347954,420581,425590,421924,416133,407199,389847,390974,202593,445514,11680,"37.50909540147428, 127.02932769615451",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,1,2110957,6,155626.55555555556,161735.92962962962,183292.5592592593,157559.6222222222,331451.03148148145,303951.137037037,1761.0,1088.0,0.0,1088.0,1251.0,50.0,1.0,120.0,168.0,116.0,24.0,54.0,46.0,926423,179156,196523,158070,154346,151825,86504,145142,152171,151117,146926,138550,99667,92848,202799,446480,11680,"37.51779849799859, 127.03166130118623",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,1,2110958,3,109425.02962962964,218275.65185185187,190312.17777777772,154368.4185185185,236973.06666666668,162880.95185185183,861.0,544.0,0.0,544.0,994.0,29.0,4.0,151.0,61.0,24.0,8.0,16.0,26.0,396940,60295,84537,73868,74589,70581,33071,63871,67031,66019,63457,59799,41853,34911,202861,444863,11680,"37.5032290671925, 127.03235633361939",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,1,2110959,3,20190.41481481481,117094.65925925926,72498.99259259259,83316.67777777778,117572.71851851852,73255.37407407408,361.0,170.0,0.0,170.0,271.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,79.0,110475,17760,21641,19540,20173,21532,9828,16452,17296,17207,16827,16510,13969,12217,202862,447325,11680,"37.525411777447985, 127.03237722460005",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,1,2110960,3,97279.9,186374.0888888889,141192.61111111112,137109.57777777777,337475.8851851852,259717.35925925925,727.0,422.0,0.0,422.0,1522.0,16.0,21.0,106.0,42.0,8.0,21.0,7.0,34.0,103270,28117,23248,13310,12528,14672,11397,15249,15436,15195,14837,14558,13782,14215,203014,443099,11680,"37.48733482260059, 127.03407945616239",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,1,2110961,7,83433.51746031747,121979.88253968254,147277.3111111111,159611.926984127,287163.8142857143,197154.06666666668,2163.0,1335.0,0.0,1335.0,962.0,56.0,0.0,231.0,194.0,84.0,53.0,12.0,94.0,1156382,234875,240306,175293,176817,202772,126320,168995,174502,177502,175483,169294,148745,141864,203036,445734,11680,"37.511076260927844, 127.03433908142084",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
