,연도,분기,버스정류장,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수
0,2020,1,23101,6672,71579,49177,57856,81299,31310
1,2020,2,23101,8033,73779,48388,60335,86690,33037
2,2020,3,23101,7756,74680,49755,58587,83374,33121
3,2020,4,23101,6377,73417,51018,59961,77762,26662
4,2020,1,23102,4348,42466,33203,48549,87372,38859
5,2020,2,23102,4946,40707,31879,51386,92385,43391
6,2020,3,23102,4991,41500,33988,52135,89491,44470
7,2020,4,23102,4369,39959,36355,54123,84720,35959
8,2020,1,23103,5270,41479,33143,40675,49287,20109
9,2020,2,23103,5970,42281,32089,41335,52061,21114
10,2020,3,23103,5959,44174,33409,41087,50083,21421
11,2020,4,23103,4830,41083,32428,40275,44720,17802
12,2020,1,23104,4209,29841,29602,39551,60606,22942
13,2020,2,23104,4688,29888,28605,40863,59505,22830
14,2020,3,23104,4290,30661,29400,42203,59468,23642
15,2020,4,23104,3683,29669,28433,39649,53597,22064
16,2020,1,23105,14474,112919,34613,36427,56695,21479
17,2020,2,23105,14194,108680,33934,36270,55928,21117
18,2020,3,23105,14282,109960,34503,35134,55150,20970
19,2020,4,23105,12815,103213,32522,33367,50732,18230
20,2020,1,23106,4173,27406,18736,24537,44309,15625
21,2020,2,23106,4057,26054,18007,24132,42046,13713
22,2020,3,23106,4744,26688,18720,24252,44038,14965
23,2020,4,23106,4366,23953,17564,22659,40715,12953
24,2020,1,23107,4570,30984,18440,25541,44218,11968
25,2020,2,23107,4537,29580,19389,26429,42771,11586
26,2020,3,23107,4696,29464,19167,26990,43920,11921
27,2020,4,23107,4151,26276,18209,25122,38724,10939
28,2020,1,23108,8797,55802,48054,77620,153427,59420
29,2020,2,23108,9457,51339,45617,74771,149035,58882
30,2020,3,23108,8346,50966,45865,73143,140925,54728
31,2020,4,23108,7644,48437,44722,70960,126511,46494
32,2020,1,23109,1580,13395,5964,7191,11092,5542
33,2020,2,23109,1414,13409,6467,7485,12088,5594
34,2020,3,23109,1394,13531,6674,7343,11624,5712
35,2020,4,23109,1329,13719,6596,6880,10149,4960
36,2020,1,23110,12779,75343,38010,43749,71947,29879
37,2020,2,23110,12081,71392,37510,43746,70529,27413
38,2020,3,23110,10619,70309,35898,42696,69566,27020
39,2020,4,23110,9556,68185,34504,40583,63992,25092
40,2020,1,23111,4268,105662,36783,42584,60558,27565
41,2020,2,23111,4410,99850,34423,40423,56207,26482
42,2020,3,23111,4165,104504,35107,39909,55308,25981
43,2020,4,23111,3304,96510,32916,37045,48792,21844
44,2020,1,23112,3450,59911,21049,24972,34565,13543
45,2020,2,23112,3140,58125,20750,24535,33608,13105
46,2020,3,23112,3209,60570,21741,25985,34747,13536
47,2020,4,23112,2623,55912,20360,24349,31647,12938
48,2020,1,23113,4449,34954,15317,20911,62759,18455
49,2020,2,23113,4400,34044,14796,19596,59435,17170
50,2020,3,23113,4937,35193,14654,19331,61890,17434
51,2020,4,23113,4429,32114,13996,18256,57052,16583
52,2020,1,23114,5182,103530,22362,23976,58313,18901
53,2020,2,23114,4868,100860,21625,24188,56317,18578
54,2020,3,23114,5003,102523,22272,23493,57235,18088
55,2020,4,23114,4518,99059,21897,23313,55304,16928
56,2020,1,23115,3397,26891,17393,21793,37979,13544
57,2020,2,23115,3258,27121,16599,22284,34736,13360
58,2020,3,23115,3255,26905,16708,21949,34924,13998
59,2020,4,23115,2982,24265,15902,20317,29495,12221
60,2020,1,23116,2470,14310,10280,12967,19921,7008
61,2020,2,23116,2509,14229,10760,13537,19264,7076
62,2020,3,23116,2431,14604,10195,12855,19711,7507
63,2020,4,23116,2221,13534,9894,11913,16503,6334
64,2020,1,23117,4226,35793,16934,19292,28528,13617
65,2020,2,23117,4407,34022,16844,18961,28290,13674
66,2020,3,23117,4500,35815,15963,18830,28309,13408
67,2020,4,23117,4283,32347,15057,17291,25289,11156
68,2020,1,23118,4588,65504,21796,23203,34300,14639
69,2020,2,23118,4667,62828,21321,22977,31973,14581
70,2020,3,23118,4648,66079,21156,23731,32632,14433
71,2020,4,23118,4689,59593,20238,22198,29101,12446
72,2020,1,23119,4254,44547,13703,16006,31923,14023
73,2020,2,23119,3582,41931,14045,15831,29773,12226
74,2020,3,23119,3898,44450,14708,16227,30509,12595
75,2020,4,23119,3225,42206,13885,15847,28882,11836
76,2020,1,23120,504,10608,3478,3731,5826,2259
77,2020,2,23120,337,9698,3317,3368,4509,2132
78,2020,3,23120,442,9946,3348,3621,4751,2227
79,2020,4,23120,388,8789,3216,3263,3939,1791
80,2020,1,23121,965,7541,5050,7139,14311,6962
81,2020,2,23121,933,6466,4861,6665,12564,6177
82,2020,3,23121,918,6869,4778,6664,12386,5934
83,2020,4,23121,780,6119,4536,6042,10513,5174
