연도,분기,상권_코드,점포수,시간대_00~06_매출_금액_평균,시간대_06~11_매출_금액_평균,시간대_11~14_매출_금액_평균,시간대_14~17_매출_금액_평균,시간대_17~21_매출_금액_평균,시간대_21~24_매출_금액_평균,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,상권_중앙위경도_값,00~06시_버스,06~11시_버스,11~14시_버스,14~17시_버스,17~21시_버스,21~24시_버스,00~06시_지하철,06~11시_지하철,11~14시_지하철,14~17시_지하철,17~21시_지하철,21~24시_지하철,포함된_버정_수,포함된_역_수
2022,1,2110963,3,54146.240740740745,100632.0,109925.3,68801.11851851852,106565.25555555556,89889.84814814814,1684.0,860.0,0.0,860.0,780.0,45.0,2.0,165.0,141.0,93.0,47.0,11.0,137.0,391348,104561,81875,49973,48250,58190,48498,57615,57141,57715,58935,58389,50839,50715,203260,443659,11680,"37.49237962946542, 127.03686347002896",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2022,1,2110951,3,68813.93703703703,58885.370370370365,97381.66296296296,82922.17037037037,182303.04444444444,163386.4814814815,979.0,574.0,0.0,574.0,273.0,16.0,3.0,95.0,36.0,10.0,5.0,5.0,23.0,478507,111524,93016,66343,69068,82365,56191,70137,70184,71100,73604,73901,62010,57571,202246,446821,11680,"37.52087242965624, 127.02540700249948",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2022,2,2110951,3,95056.52014652015,72593.9010989011,111496.74725274726,88676.75457875458,165661.49084249084,177182.684981685,979.0,574.0,0.0,574.0,273.0,16.0,3.0,95.0,36.0,10.0,5.0,5.0,23.0,538469,118378,102681,76367,79565,96411,65067,78271,82031,81810,80836,82440,70227,62854,202246,446821,11680,"37.52087242965624, 127.02540700249948",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2022,1,2120223,4,5217.1194444444445,102323.18333333332,130735.87222222224,89867.34166666666,85442.64166666666,37197.1,309.0,111.0,0.0,111.0,9166.0,9.0,0.0,0.0,9.0,13.0,11.0,10.0,40.0,206155,20736,46623,43045,42972,37949,14832,33335,32496,32631,35152,33859,20685,17996,205736,444979,11680,"37.504260852229244, 127.06487188953616",6154.0,135669.0,57251.0,69992.0,127577.0,38268.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
2022,1,2120209,10,187071.02777777772,483681.71,487295.0688888889,412271.6944444445,735962.9477777778,531912.76,1374.0,671.0,0.0,671.0,8984.0,20.0,12.0,39.0,78.0,9.0,9.0,57.0,251.0,633714,108939,127171,105353,107177,120594,64482,93403,94351,95146,98377,97691,81785,72962,204322,446563,11680,"37.51854045610646, 127.04888942339811",6397.0,163021.0,62251.0,75008.0,127569.0,42768.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
2022,1,2120210,40,201291.9644444445,499729.46305555553,453354.21194444445,385452.3777777778,711372.3819444445,497132.8061111111,4780.0,3339.0,0.0,3339.0,48780.0,93.0,19.0,556.0,843.0,113.0,106.0,55.0,3.0,4654833,701515,966930,838626,830703,891138,425921,722715,716615,721904,764703,748593,521154,459148,204334,445014,11680,"37.50458384746136, 127.04901603682542",32757.0,354649.0,132210.0,145886.0,218997.0,105445.0,34632.0,3030794.0,1110966.0,1372089.0,2791292.0,696425.0,6,1
2022,1,2120194,21,146437.96084656083,317205.34285714285,309903.63862433867,313437.76402116404,533798.7661375662,348854.2343915344,2599.0,1764.0,0.0,1764.0,12628.0,63.0,3.0,393.0,309.0,93.0,29.0,35.0,102.0,1673923,282517,358335,287073,287131,299585,159281,255425,253937,256328,268860,264035,197173,178165,202978,445363,11680,"37.50773372300574, 127.03368156281698",7926.0,193226.0,64957.0,72931.0,133018.0,50694.0,6089.0,495276.0,185917.0,221530.0,456186.0,102936.0,7,1
2022,1,2120220,11,31961.8101010101,227852.9757575757,446269.6343434344,466459.1939393939,679375.0363636364,210218.8535353536,831.0,255.0,0.0,255.0,5578.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,523668,51419,90092,88553,104861,134326,54418,73229,72337,71693,75666,77047,82022,71676,205483,443898,11680,"37.49452251741251, 127.06200250745094",8757.0,122277.0,112114.0,142372.0,179116.0,88195.0,8458.0,446798.0,249229.0,287465.0,460764.0,196652.0,5,1
2022,1,2120201,9,168931.09629629628,309390.52716049383,287708.62962962966,245372.40740740745,466695.1777777778,364401.6592592592,1880.0,1108.0,0.0,1108.0,11559.0,48.0,1.0,195.0,147.0,111.0,35.0,59.0,48.0,970366,181707,206341,154888,155931,171586,99912,145465,144584,145350,149421,147691,121212,116641,203534,443646,11680,"37.49226149114439, 127.03996174769397",8676.0,217141.0,99531.0,119353.0,210374.0,72124.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
2022,3,2110951,3,105489.42753623187,80154.2536231884,117874.35869565218,96599.91666666669,173376.3333333333,175073.21739130435,979.0,574.0,0.0,574.0,273.0,16.0,3.0,95.0,36.0,10.0,5.0,5.0,23.0,534630,111634,103783,77195,80520,97264,64234,76454,81690,82710,83040,81972,67848,60916,202246,446821,11680,"37.52087242965624, 127.02540700249948",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
