,연도,분기,지하철역,00-06시,06-11시,11-14시,14-17시,17-21시,21-24시
0,2020,1,강남,152555,3719525,1984625,2369429,4565122,1863535
1,2020,1,강남구청,27841,1351101,465065,544235,1227153,349236
2,2020,1,개포동,4454,162279,75881,80158,146614,56165
3,2020,1,구룡,2358,70733,29613,39200,51238,14470
4,2020,1,논현,30177,1073607,326798,401962,999650,326825
5,2020,1,대모산입구,9353,170913,62317,74488,126129,35427
6,2020,1,대청,21490,437065,173501,208494,410398,135456
7,2020,1,대치,16088,475582,248023,276704,478914,208105
8,2020,1,도곡,16161,561936,239460,267923,506878,138832
9,2020,1,매봉,10593,578298,180878,215399,526170,132989
10,2020,1,봉은사,12966,732354,326840,376983,794607,206644
11,2020,1,삼성(무역센터),55428,2579165,951202,1200206,2661715,644443
12,2020,1,삼성중앙,7284,310217,101591,120531,312244,76445
13,2020,1,선릉,72845,3434367,1192187,1495956,3129248,825530
14,2020,1,선정릉,18226,890477,293529,325310,804780,210758
15,2020,1,수서,52443,1395507,639199,717325,1378801,425999
16,2020,1,신논현,49000,1263642,655057,783789,1663958,638909
17,2020,1,신사,35246,1281763,670446,850544,1650460,532405
18,2020,1,압구정,27505,1497952,733526,848214,1578058,386718
19,2020,1,압구정로데오,9878,742530,351137,422454,934140,224792
20,2020,1,언주,12947,454644,167982,199245,451644,110892
21,2020,1,역삼,56885,2758589,848854,1036523,2408447,598387
22,2020,1,일원,14172,452845,229950,239931,335078,92225
23,2020,1,청담,30923,1209491,316468,391649,943567,233297
24,2020,1,학동,23038,1382409,322340,399819,1142269,252972
25,2020,1,학여울,3046,91766,40953,50603,80477,21754
26,2020,1,한티,9702,597823,330747,341247,668937,228076
27,2020,2,강남,67233,3456853,1669505,2014022,4118062,1556267
28,2020,2,강남구청,18523,1307640,434002,511125,1188142,331538
29,2020,2,개포동,3817,153593,65229,75882,140873,50386
30,2020,2,구룡,2088,75506,28575,37507,52014,15985
31,2020,2,논현,15584,1044569,311217,380456,973658,311623
32,2020,2,대모산입구,9505,171953,58849,73156,127475,34274
33,2020,2,대청,13781,431475,161528,208047,387738,125368
34,2020,2,대치,9011,434787,202322,250066,441162,193679
35,2020,2,도곡,16434,542669,213855,257296,482637,132405
36,2020,2,매봉,7155,558812,169163,205966,514015,125264
37,2020,2,봉은사,7699,698601,268586,310551,718709,167510
38,2020,2,삼성(무역센터),42389,2485318,784761,992499,2444309,536406
39,2020,2,삼성중앙,3282,309952,94878,115407,304659,71767
40,2020,2,선릉,43668,3356981,1131481,1432189,3055509,765857
41,2020,2,선정릉,12606,870168,270107,308989,791357,200650
42,2020,2,수서,42489,1388690,598766,702272,1346567,400787
43,2020,2,신논현,22334,1194475,594199,704144,1538151,550731
44,2020,2,신사,15346,1210503,583643,744219,1544026,488335
45,2020,2,압구정,20952,1417101,641090,758013,1472849,351836
46,2020,2,압구정로데오,9578,730533,336837,408691,934099,224295
47,2020,2,언주,6555,439058,154468,186419,424454,98722
48,2020,2,역삼,33146,2609833,767069,954370,2254206,513957
49,2020,2,일원,9982,446597,197427,217441,309320,85436
50,2020,2,청담,26324,1168932,285763,369112,901166,218765
51,2020,2,학동,13506,1332534,301340,378666,1106676,236223
52,2020,2,학여울,1990,90337,39960,48519,79141,22109
53,2020,2,한티,9187,564694,281314,310197,617888,204314
54,2020,3,강남,64766,3432546,1667559,2004818,4052522,1437408
55,2020,3,강남구청,18061,1314758,434445,510599,1184267,312630
56,2020,3,개포동,4596,161979,69374,81996,150027,51174
57,2020,3,구룡,2113,85760,32686,42710,56934,16272
58,2020,3,논현,14110,1031814,304045,376367,956777,295132
59,2020,3,대모산입구,10402,176548,60366,76588,128591,32140
60,2020,3,대청,13980,439412,167452,213897,388085,118370
61,2020,3,대치,9343,438504,217176,262371,449837,184908
62,2020,3,도곡,15370,558831,223591,266686,494929,129110
63,2020,3,매봉,7555,577027,174718,211792,530931,122815
64,2020,3,봉은사,7894,724424,291982,344710,748920,173467
65,2020,3,삼성(무역센터),39401,2523746,829374,1049748,2463640,535935
66,2020,3,삼성중앙,3337,327698,97437,120405,318762,67778
67,2020,3,선릉,42928,3328162,1121066,1406961,3004427,717136
68,2020,3,선정릉,12396,879839,268190,317395,795955,193364
69,2020,3,수서,41067,1408321,609474,716315,1353526,381553
70,2020,3,신논현,20993,1206599,598179,716149,1529302,520941
71,2020,3,신사,14633,1216443,582331,737944,1517651,456777
72,2020,3,압구정,19180,1449460,670321,780831,1520330,355795
73,2020,3,압구정로데오,10047,759035,358307,428008,953113,220281
74,2020,3,언주,6905,466637,161300,195349,442260,99226
75,2020,3,역삼,33498,2634128,765527,957765,2283490,504546
76,2020,3,일원,10164,464083,212429,230300,321067,83519
77,2020,3,청담,24672,1156349,287869,366620,888097,207884
78,2020,3,학동,14398,1351700,295880,378307,1116357,226877
79,2020,3,학여울,1897,90950,37992,46785,79194,20652
80,2020,3,한티,8891,595266,307520,330893,652500,201984
81,2020,4,강남,57946,3213682,1521554,1894378,3777345,1236587
82,2020,4,강남구청,16551,1292969,449037,529928,1175180,287852
83,2020,4,개포동,5001,163623,69984,90585,151089,46511
84,2020,4,구룡,2221,90340,35855,49528,64304,16034
85,2020,4,논현,12793,1023260,308187,389077,950503,271776
86,2020,4,대모산입구,10181,180542,64492,81311,131106,29880
87,2020,4,대청,12769,436458,171638,223730,383859,108094
88,2020,4,대치,9095,430890,219240,266059,446783,170394
89,2020,4,도곡,13951,552569,229129,278680,488420,115773
90,2020,4,매봉,6734,581660,184145,225456,535454,115855
91,2020,4,봉은사,7128,700757,282202,336643,718976,151614
92,2020,4,삼성(무역센터),35230,2388986,818533,1025721,2332286,473523
93,2020,4,삼성중앙,3165,323147,96996,121217,310501,63719
94,2020,4,선릉,38717,3228282,1139792,1427513,2911061,652314
95,2020,4,선정릉,11358,867703,275882,329530,787878,179619
96,2020,4,수서,39250,1376117,622620,724451,1317122,352082
97,2020,4,신논현,18570,1175460,582353,708743,1466639,454368
98,2020,4,신사,12889,1188533,592870,762189,1486244,402913
99,2020,4,압구정,17173,1397736,658786,782825,1469432,318370
100,2020,4,압구정로데오,8636,744756,350525,432371,931723,203365
101,2020,4,언주,6588,451606,167124,200164,431538,94167
102,2020,4,역삼,31121,2525015,734724,927982,2187816,452688
103,2020,4,일원,9880,461745,217060,242598,318403,77805
104,2020,4,청담,21603,1135002,294365,378165,876074,192547
105,2020,4,학동,13527,1329463,313380,402531,1100072,216883
106,2020,4,학여울,1984,93192,43991,54738,81307,19374
107,2020,4,한티,8626,579254,302016,333187,642631,186150
108,2021,1,강남,47145,3102432,1523526,1910657,3642849,1228824
109,2021,1,강남구청,14045,1275810,446036,524269,1168408,313519
110,2021,1,개포동,4317,159040,68807,85556,149290,48523
111,2021,1,구룡,2565,82675,31731,46651,61178,17690
112,2021,1,논현,9472,996633,311683,391598,917820,277979
113,2021,1,대모산입구,8596,168828,60645,77444,124093,31612
114,2021,1,대청,11828,409884,163863,208339,378801,112644
115,2021,1,대치,8231,440085,225531,269306,445171,181020
116,2021,1,도곡,11759,539508,225338,270504,492281,128709
117,2021,1,매봉,5324,570959,180234,219455,535530,125065
118,2021,1,봉은사,6563,676192,277997,333201,696498,151320
119,2021,1,삼성(무역센터),28231,2248450,794703,1001552,2254716,478478
120,2021,1,삼성중앙,2970,321090,99025,121849,315615,70565
121,2021,1,선릉,33652,3062319,1083210,1397809,2832559,694102
122,2021,1,선정릉,10901,856184,269269,325436,779205,189740
123,2021,1,수서,35784,1296087,581901,671511,1255943,356844
124,2021,1,신논현,14597,1149923,615293,755034,1443320,463002
125,2021,1,신사,10418,1182728,627831,807921,1486113,423554
126,2021,1,압구정,14424,1377855,681438,802645,1449687,329614
127,2021,1,압구정로데오,6217,745518,383426,473552,958661,235130
128,2021,1,언주,5778,461491,172274,205608,435818,101639
129,2021,1,역삼,29182,2487351,735401,926029,2177019,494643
130,2021,1,일원,9692,446902,217068,237700,316556,82588
131,2021,1,청담,17689,1095630,291925,369702,850830,195476
132,2021,1,학동,12375,1309898,305011,387523,1081299,230496
